id,tag_id,snippet_id,created_at,updated_at
716,9,216,2015-04-24 08:06:23,2015-04-24 08:06:23
722,17,196,2015-04-24 16:52:20,2015-04-24 16:52:20
723,39,196,2015-04-24 16:52:20,2015-04-24 16:52:20
731,9,217,2015-04-25 03:31:10,2015-04-25 03:31:10
732,7,217,2015-04-25 03:31:10,2015-04-25 03:31:10
748,38,221,2015-04-28 02:31:58,2015-04-28 02:31:58
749,134,221,2015-04-28 02:31:58,2015-04-28 02:31:58
750,39,221,2015-04-28 02:31:58,2015-04-28 02:31:58
751,7,222,2015-04-28 03:01:54,2015-04-28 03:01:54
752,7,223,2015-04-28 04:44:49,2015-04-28 04:44:49
753,9,223,2015-04-28 04:44:49,2015-04-28 04:44:49
754,17,215,2015-04-28 12:04:42,2015-04-28 12:04:42
768,17,220,2015-04-28 16:41:24,2015-04-28 16:41:24
769,40,224,2015-04-29 00:46:26,2015-04-29 00:46:26
770,17,225,2015-04-29 06:56:30,2015-04-29 06:56:30
771,135,225,2015-04-29 06:56:30,2015-04-29 06:56:30
772,9,226,2015-04-30 17:39:00,2015-04-30 17:39:00
773,9,227,2015-05-01 17:03:56,2015-05-01 17:03:56
775,9,228,2015-05-02 03:43:57,2015-05-02 03:43:57
777,9,229,2015-05-02 04:17:18,2015-05-02 04:17:18
781,70,230,2015-05-03 07:29:20,2015-05-03 07:29:20
784,70,231,2015-05-03 11:03:49,2015-05-03 11:03:49
785,136,231,2015-05-03 11:03:49,2015-05-03 11:03:49
788,9,233,2015-05-03 11:57:21,2015-05-03 11:57:21
789,137,233,2015-05-03 11:57:21,2015-05-03 11:57:21
790,9,234,2015-05-03 15:18:25,2015-05-03 15:18:25
791,132,234,2015-05-03 15:18:25,2015-05-03 15:18:25
792,108,234,2015-05-03 15:18:25,2015-05-03 15:18:25
793,138,234,2015-05-03 15:18:25,2015-05-03 15:18:25
794,139,234,2015-05-03 15:18:25,2015-05-03 15:18:25
795,140,234,2015-05-03 15:18:25,2015-05-03 15:18:25
796,141,234,2015-05-03 15:18:25,2015-05-03 15:18:25
797,70,232,2015-05-03 15:52:39,2015-05-03 15:52:39
798,136,232,2015-05-03 15:52:39,2015-05-03 15:52:39
803,70,235,2015-05-03 16:55:22,2015-05-03 16:55:22
804,136,235,2015-05-03 16:55:22,2015-05-03 16:55:22
805,70,236,2015-05-04 16:38:27,2015-05-04 16:38:27
806,70,237,2015-05-04 18:47:32,2015-05-04 18:47:32
807,136,237,2015-05-04 18:47:32,2015-05-04 18:47:32
808,70,238,2015-05-05 05:38:12,2015-05-05 05:38:12
809,136,238,2015-05-05 05:38:12,2015-05-05 05:38:12
811,70,239,2015-05-06 05:01:21,2015-05-06 05:01:21
814,70,240,2015-05-06 05:24:25,2015-05-06 05:24:25
815,142,241,2015-05-07 16:57:56,2015-05-07 16:57:56
816,81,241,2015-05-07 16:57:56,2015-05-07 16:57:56
817,49,242,2015-05-08 10:24:15,2015-05-08 10:24:15
818,143,242,2015-05-08 10:24:15,2015-05-08 10:24:15
821,70,243,2015-05-08 14:40:49,2015-05-08 14:40:49
822,70,244,2015-05-09 00:46:41,2015-05-09 00:46:41
858,17,202,2015-05-10 09:14:11,2015-05-10 09:14:11
859,39,202,2015-05-10 09:14:11,2015-05-10 09:14:11
860,38,202,2015-05-10 09:14:11,2015-05-10 09:14:11
864,9,248,2015-05-10 11:16:38,2015-05-10 11:16:38
866,9,249,2015-05-10 14:32:18,2015-05-10 14:32:18
867,132,249,2015-05-10 14:32:18,2015-05-10 14:32:18
872,7,251,2015-05-10 15:44:40,2015-05-10 15:44:40
873,9,251,2015-05-10 15:44:40,2015-05-10 15:44:40
874,9,252,2015-05-10 16:36:42,2015-05-10 16:36:42
875,132,252,2015-05-10 16:36:42,2015-05-10 16:36:42
876,148,252,2015-05-10 16:36:42,2015-05-10 16:36:42
877,149,252,2015-05-10 16:36:42,2015-05-10 16:36:42
878,150,252,2015-05-10 16:36:42,2015-05-10 16:36:42
879,7,158,2015-05-10 16:46:34,2015-05-10 16:46:34
880,125,158,2015-05-10 16:46:34,2015-05-10 16:46:34
881,126,158,2015-05-10 16:46:34,2015-05-10 16:46:34
882,9,218,2015-05-10 17:59:02,2015-05-10 17:59:02
883,132,218,2015-05-10 17:59:02,2015-05-10 17:59:02
